user_budget,user_days,pref_food,pref_beach,pref_nature,pref_museums,pref_nightlife,place_name,place_province,place_category,place_rating,is_recommended
comfort,6,0,1,0,0,1,Bean and Hops Coffee,Aklan,food,4.4,0
high,6,1,0,0,1,0,Amadeo Coffee and Culture Heritage Mural,Cavite,sightseeing,4.1,0
comfort,3,0,1,0,0,0,Andres Bonifacio Park,Isabela,sightseeing,3.7,0
high,7,0,0,1,1,0,Starbucks Reserve,Cavite,food,4.6,1
comfort,4,1,0,1,0,1,Our Nest Restaurant,Northern Samar,food,4.4,0
low,5,1,1,0,0,1,Bo's Coffee,Lanao del Norte,food,4.5,0
low,7,0,0,1,0,0,Podo Grill,Camarines Sur,food,4.5,0
high,2,1,1,0,0,0,Cesar's Cantina,Siquijor,food,3.5,1
low,7,0,0,0,0,1,Madja'as Viewdeck 3,Antique,sightseeing,4.8,0
comfort,7,1,0,0,1,0,Cutcutan Beach,Bohol,beach,4.5,0
low,6,0,1,0,0,1,Caliraya Slip n Slide,Rizal,museums,4.8,0
low,5,1,1,0,0,1,Courtyard,Rizal,beach,3.9,1
comfort,3,0,0,1,1,1,Bacong Treehouse,Siquijor,sightseeing,4.4,0
high,6,0,1,0,0,0,Marcos Park,Agusan del Norte,beach,4.8,1
low,6,0,0,1,0,0,Bayan Park Entrance,La Union,beach,4.5,0
comfort,2,0,0,0,1,0,Magdiwang Boat Ride,Romblon,sightseeing,4.9,0
low,3,0,0,1,0,0,Noy's Yellow Chicken,Cebu,food,4.8,0
low,6,0,0,1,0,0,Flora Town Plaza,Apayao,beach,4.8,0
low,7,1,1,0,0,0,Moises Amat Escueta Ala-ala Park,Laguna,nature,4.5,0
high,2,1,1,0,0,1,"Barangay tabugon, camarines norte",Quezon,sightseeing,4.6,0
comfort,4,0,1,0,1,0,Rizal Park,La Union,beach,3.5,0
low,3,0,0,0,0,0,Ethan's Cafe,Leyte,food,4.6,0
high,4,0,0,1,0,0,Academic Resource Center Building,Cavite,museums,4.4,0
comfort,5,0,1,0,0,1,Chicken Ati-Atihan,Davao de Oro,food,3.7,0
high,2,1,1,0,0,0,Oroquieta City,Misamis Occidental,museums,3.5,0
low,6,0,1,0,0,1,Children's Park,Nueva Vizcaya,beach,4.8,1
high,3,0,0,0,0,1,Hibok-Hibok Summit Viewpoint,Camiguin,museums,4.3,0
high,4,0,0,1,0,0,Sagbayan Peak Park,Bohol,nature,4.3,0
low,7,1,0,1,1,0,Kapitbahay Restaurant,Quezon,food,3.7,0
comfort,3,0,1,1,0,0,AB,Camiguin,sightseeing,3.9,0
low,7,0,0,1,0,0,Tasha's Korean Grill and Restaurant,Cebu,food,3.7,0
low,2,0,1,1,0,0,El Timplada,Iloilo,food,3.6,0
comfort,3,0,0,0,0,1,K. COFFEE,Lanao del Norte,food,4.1,0
high,5,0,0,1,0,0,Legazpi Sign,Albay,sightseeing,4.0,0
high,3,0,0,0,0,0,School Park,Nueva Vizcaya,beach,3.6,0
high,3,0,0,1,1,0,Bangkang Dahon,South Cotabato,sightseeing,4.5,1
comfort,5,0,0,0,1,1,Jose Rizal,Guimaras,museums,4.4,0
high,7,0,0,1,0,0,Alta tierra Village Comm Park,Guimaras,beach,3.6,0
high,4,1,0,0,0,1,People's Park,Lanao del Norte,beach,3.6,0
low,3,1,1,1,0,0,Rizal Park,Camarines Norte,beach,4.7,1
high,7,0,0,0,1,1,Our Lady of Lourdes Grotto,La Union,museums,3.9,0
low,3,0,0,0,0,1,La Paz Sand Dunes,Ilocos Norte,museums,3.6,0
high,2,1,1,0,0,0,Bong Gumne De Muhon,South Cotabato,beach,4.2,0
high,3,1,0,0,0,0,G&B 3J's Restaurant,Rizal,food,4.8,1
high,3,1,1,0,0,0,Mars Grill,Lanao del Norte,food,3.7,1
low,7,0,0,1,0,1,Penongs Chicken Grills,Davao de Oro,food,4.7,0
comfort,5,0,1,0,0,0,Cabalen Buffet Restaurant,Agusan del Norte,food,3.5,0
high,7,0,0,1,1,0,Eagle's View,Davao del Norte,food,4.6,1
comfort,2,0,0,0,0,0,Katangay Eatery and Coffee Shop,Mountain Province,food,3.9,0
low,6,1,0,1,0,1,Jose Rizal Park,Maguindanao del Sur,beach,3.9,0
low,4,0,0,1,0,0,Century old Balete Tree,Camarines Sur,sightseeing,4.1,0
high,3,1,0,0,0,1,Mother Tree,Palawan,museums,3.6,0
low,4,0,0,0,0,1,Mines View Park,Benguet,nature,3.8,0
comfort,2,0,1,1,0,0,Irosin Eco Park,Sorsogon,sightseeing,3.9,0
high,4,0,0,1,1,1,Johndorf Subdivision Park,Misamis Oriental,nature,4.0,0
comfort,5,1,0,0,0,1,Panicuason Hotspring Resort,Camarines Sur,museums,3.8,0
comfort,4,0,1,0,1,0,Mount Costa,La Union,museums,4.1,0
comfort,3,0,0,1,0,0,Bella Glee,Misamis Oriental,museums,4.9,0
comfort,6,0,0,1,0,0,Baybay Otso,Surigao del Norte,food,3.6,0
comfort,5,0,0,1,0,0,Tomas Rock,Quirino,museums,3.6,0
